園代碼,園名,學年度,資料表,指標,資料類別,數值,前一年數值,YoY變化額,YoY變化率,歷史均值,歷史標準差,移動平均_近3年,Zscore
N01,安溪,113,資產負債表,其他應付款,非收支,1926288.0,2063288.0,-137000.0,-0.06639887403018871,1840990.25,284387.98359093274,1980015.3333333333,0.29993443788642404
N01,安溪,110,資產負債表,其他應收款,非收支,,,,,,,,
N01,安溪,112,資產負債表,其他流動負債,非收支,1542.0,,,,1542.0,,1542.0,
N01,安溪,113,資產負債表,其他流動負債,非收支,3075.0,1542.0,1533.0,0.9941634241245136,2308.5,1083.9946955589774,2308.5,0.7071067811865476
N01,安溪,110,資產負債表,其他流動資產,非收支,25029.0,,,,25029.0,,25029.0,
N01,安溪,111,資產負債表,其他流動資產,非收支,35254.0,25029.0,10225.0,0.40852610971273323,30141.5,7230.166837632449,30141.5,0.7071067811865475
N01,安溪,112,資產負債表,其他流動資產,非收支,,35254.0,,,30141.5,7230.166837632449,30141.5,
N01,安溪,110,資產負債表,存出保證金,非收支,3600.0,,,,3600.0,,3600.0,
N01,安溪,111,資產負債表,存出保證金,非收支,3600.0,3600.0,0.0,0.0,3600.0,0.0,3600.0,
N01,安溪,112,資產負債表,存出保證金,非收支,3600.0,3600.0,0.0,0.0,3600.0,0.0,3600.0,
N01,安溪,113,資產負債表,存出保證金,非收支,3600.0,3600.0,0.0,0.0,3600.0,0.0,3600.0,
N01,安溪,110,資產負債表,應付代管財產,非收支,1119608.0,,,,1119608.0,,1119608.0,
N01,安溪,111,資產負債表,應付代管財產,非收支,2577702.0,1119608.0,1458094.0,1.3023254567670113,1848655.0,1031028.1550074178,1848655.0,0.7071067811865476
N01,安溪,112,資產負債表,應付代管財產,非收支,3030018.0,2577702.0,452316.0,0.17547257208164482,2242442.6666666665,998356.5031917874,2242442.6666666665,0.7888718416872352
N01,安溪,113,資產負債表,應付代管財產,非收支,2572979.0,3030018.0,-457039.0,-0.15083705773365041,2325076.75,831739.565743739,2726899.6666666665,0.29805273214137235
N01,安溪,110,資產負債表,應付票據,非收支,17087.0,,,,17087.0,,17087.0,
N01,安溪,111,資產負債表,應付票據,非收支,17853.0,17087.0,766.0,0.04482940246971382,17470.0,541.6437943888955,17470.0,0.7071067811865475
N01,安溪,112,資產負債表,應付票據,非收支,,17853.0,,,17470.0,541.6437943888955,17470.0,
N01,安溪,113,資產負債表,應付票據,非收支,17684.0,,,,17541.333333333332,402.43550207869765,17768.5,0.35450815330594
N01,安溪,110,資產負債表,應付購置財產,非收支,168381.0,,,,168381.0,,168381.0,
N01,安溪,111,資產負債表,應付購置財產,非收支,172779.0,168381.0,4398.0,0.02611933650471253,170580.0,3109.855623658436,170580.0,0.7071067811865476
N01,安溪,112,資產負債表,應付購置財產,非收支,172779.0,172779.0,0.0,0.0,171313.0,2539.186483895974,171313.0,0.5773502691896257
