園代碼,園名,學年度,資料表,指標,數值,資料類別
N01,安溪,113,附表三,勞退金提撥-決算數,561189.0,非收支
N01,安溪,110,附表三,呆帳損失-執行率,,非收支
N01,安溪,111,附表三,呆帳損失-執行率,,非收支
N01,安溪,112,附表三,呆帳損失-執行率,,非收支
N01,安溪,113,附表三,呆帳損失-執行率,,非收支
N01,安溪,110,附表三,呆帳損失-決算數,46686.0,非收支
N01,安溪,111,附表三,呆帳損失-決算數,,非收支
N01,安溪,112,附表三,呆帳損失-決算數,1828.0,非收支
N01,安溪,113,附表三,呆帳損失-決算數,,非收支
N01,安溪,110,附表三,園務特支-執行率,100.0,非收支
N01,安溪,111,附表三,園務特支-執行率,100.0,非收支
N01,安溪,112,附表三,園務特支-執行率,97.0,非收支
N01,安溪,113,附表三,園務特支-執行率,101.0,非收支
N01,安溪,110,附表三,園務特支-決算數,39000.0,非收支
N01,安溪,111,附表三,園務特支-決算數,42000.0,非收支
N01,安溪,112,附表三,園務特支-決算數,40640.0,非收支
N01,安溪,113,附表三,園務特支-決算數,42244.0,非收支
N01,安溪,110,附表三,園舍消毒、清潔-執行率,41.0,非收支
N01,安溪,111,附表三,園舍消毒、清潔-執行率,69.0,非收支
N01,安溪,112,附表三,園舍消毒、清潔-執行率,65.0,非收支
N01,安溪,113,附表三,園舍消毒、清潔-執行率,42.0,非收支
N01,安溪,110,附表三,園舍消毒、清潔-決算數,10223.0,非收支
N01,安溪,111,附表三,園舍消毒、清潔-決算數,17337.0,非收支
N01,安溪,112,附表三,園舍消毒、清潔-決算數,16228.0,非收支
N01,安溪,113,附表三,園舍消毒、清潔-決算數,10572.0,非收支
N01,安溪,113,附表三,園長及教保服務人員薪資(含職務加給)-執行率,94.0,非收支
N01,安溪,113,附表三,園長及教保服務人員薪資(含職務加給)-決算數,6593558.0,非收支
N01,安溪,112,附表三,園長及教保服務人員薪資（含職務加給）-執行率,95.0,非收支
N01,安溪,112,附表三,園長及教保服務人員薪資（含職務加給）-決算數,6524563.0,非收支
N01,安溪,113,附表三,學前特教師(含職務加給)、社工師、護理師薪資-執行率,101.0,非收支
N01,安溪,113,附表三,學前特教師(含職務加給)、社工師、護理師薪資-決算數,676239.0,非收支
N01,安溪,112,附表三,學前特教師（含職務加給）、社工師、護理師薪資-執行率,100.0,非收支
N01,安溪,112,附表三,學前特教師（含職務加給）、社工師、護理師薪資-決算數,650268.0,非收支
N01,安溪,110,附表三,差旅費-執行率,,非收支
N01,安溪,111,附表三,差旅費-執行率,,非收支
N01,安溪,112,附表三,差旅費-執行率,,非收支
N01,安溪,113,附表三,差旅費-執行率,,非收支
N01,安溪,110,附表三,差旅費-決算數,,非收支
N01,安溪,111,附表三,差旅費-決算數,,非收支
N01,安溪,112,附表三,差旅費-決算數,,非收支
N01,安溪,113,附表三,差旅費-決算數,,非收支
N01,安溪,110,附表三,延後托育支出-執行率,,非收支
N01,安溪,111,附表三,延後托育支出-執行率,,非收支
N01,安溪,110,附表三,延後托育支出-決算數,147216.0,非收支
N01,安溪,111,附表三,延後托育支出-決算數,202057.0,非收支
N01,安溪,112,附表三,延長照顧服務支出-執行率,,非收支
N01,安溪,113,附表三,延長照顧服務支出-執行率,,非收支
N01,安溪,112,附表三,延長照顧服務支出-決算數,176808.0,非收支
N01,安溪,113,附表三,延長照顧服務支出-決算數,162217.0,非收支
N01,安溪,112,附表三,延長照顧服務收入-執行率,,非收支
N01,安溪,113,附表三,延長照顧服務收入-執行率,,非收支
N01,安溪,112,附表三,延長照顧服務收入-決算數,344697.0,非收支
N01,安溪,113,附表三,延長照顧服務收入-決算數,268720.0,非收支
N01,安溪,112,附表三,延長照顧服務收入淨額-執行率,,非收支
N01,安溪,112,附表三,延長照顧服務收入淨額-執行率,,非收支
N01,安溪,113,附表三,延長照顧服務收入淨額-執行率,,非收支
N01,安溪,113,附表三,延長照顧服務收入淨額-執行率,,非收支
N01,安溪,112,附表三,延長照顧服務收入淨額-決算數,337868.0,非收支
N01,安溪,112,附表三,延長照顧服務收入淨額-決算數,337868.0,非收支
N01,安溪,113,附表三,延長照顧服務收入淨額-決算數,257480.0,非收支
N01,安溪,113,附表三,延長照顧服務收入淨額-決算數,257480.0,非收支
N01,安溪,112,附表三,延長照顧服務收入退費-執行率,,非收支
N01,安溪,113,附表三,延長照顧服務收入退費-執行率,,非收支
N01,安溪,112,附表三,延長照顧服務收入退費-決算數,-6829.0,非收支
N01,安溪,113,附表三,延長照顧服務收入退費-決算數,-11240.0,非收支
N01,安溪,110,附表三,所得稅費用-執行率,,非收支
N01,安溪,111,附表三,所得稅費用-執行率,,非收支
N01,安溪,112,附表三,所得稅費用-執行率,,非收支
N01,安溪,113,附表三,所得稅費用-執行率,,非收支
N01,安溪,110,附表三,所得稅費用-決算數,,非收支
N01,安溪,111,附表三,所得稅費用-決算數,,非收支
N01,安溪,112,附表三,所得稅費用-決算數,,非收支
N01,安溪,113,附表三,所得稅費用-決算數,,非收支
N01,安溪,110,附表三,攝影照片-執行率,,非收支
N01,安溪,111,附表三,攝影照片-執行率,,非收支
